index,date
1,20040723
2,20040625
3,20040415
4,20031226
5,20031017
6,20030912
7,20030908
8,20030905
9,20030822
10,20030808
11,20030805
12,20030804
13,20030728
14,20030714
15,20030708
16,20030707
17,20030618
18,20030617
19,20030609
20,20030508
21,20030505
22,20030403
23,20030325
24,20030324
25,20030310
26,20030204
27,20030106
28,20030102
29,20021206
30,20021205
31,20130404
32,20130403
33,20130402
34,20130401
35,20130329
36,20130328
37,20130327
38,20130326
39,20130325
40,20130322
41,20130321
42,20130320
43,20130319
44,20130318
45,20130315
46,20130314
47,20130313
48,20130312
49,20130311
50,20130308
51,20130307
52,20130306
53,20130305
54,20130304
55,20130301
56,20130228
57,20130227
58,20130226
59,20130225
60,20130222
61,20130221
62,20130220
63,20130219
64,20130218
65,20130215
66,20130214
67,20130213
68,20130212
69,20130211
70,20130208
71,20130207
72,20130206
73,20130205
74,20130204
75,20130201
76,20130131
77,20130130
78,20130129
79,20130128
80,20130125
81,20130124
82,20130123
83,20130122
84,20130121
85,20130118
86,20130117
87,20130116
88,20130115
89,20130114
90,20130111
91,20130110
92,20130109
93,20130108
94,20130107
95,20130104
96,20130103
97,20130102
98,20130101
99,20121231
100,20121228
101,20121227
102,20121226
103,20121225
104,20121224
105,20121222
106,20121221
107,20121220
108,20121219
109,20121218
110,20121217
111,20121214
112,20121213
113,20121212
114,20121211
115,20121210
116,20121207
117,20121206
118,20121205
119,20121204
120,20121203
121,20121130
122,20121129
123,20121128
124,20121127
125,20121126
126,20121123
127,20121122
128,20121121
129,20121120
130,20121119
131,20121116
132,20121115
133,20121114
134,20121113
135,20121112
136,20121109
137,20121108
138,20121107
139,20121106
140,20121105
141,20121102
142,20121101
143,20121031
144,20121030
145,20121029
146,20121026
147,20121025
148,20121024
149,20121023
150,20121022
151,20121019
152,20121018
153,20121017
154,20121016
155,20121015
156,20121012
157,20121011
158,20121010
159,20121009
160,20121008
161,20121005
162,20121004
163,20121003
164,20121002
165,20121001
166,20120928
167,20120927
168,20120926
169,20120925
170,20120924
171,20120921
172,20120920
173,20120919
174,20120918
175,20120917
176,20120914
177,20120913
178,20120912
179,20120911
180,20120910
181,20120907
182,20120906
183,20120905
184,20120904
185,20120903
186,20120831
187,20120830
188,20120829
189,20120828
190,20120827
191,20120824
192,20120823
193,20120822
194,20120821
195,20120820
196,20120817
197,20120816
198,20120815
199,20120814
200,20120813
201,20120810
202,20120809
203,20120808
204,20120807
205,20120806
206,20120803
207,20120802
208,20120801
209,20120731
210,20120730
211,20120727
212,20120726
213,20120725
214,20120724
215,20120723
216,20120720
217,20120719
218,20120718
219,20120717
220,20120716
221,20120713
222,20120712
223,20120711
224,20120710
225,20120709
226,20120706
227,20120705
228,20120704
229,20120703
230,20120702
231,20120629
232,20120628
233,20120627
234,20120626
235,20120625
236,20120622
237,20120621
238,20120620
239,20120619
240,20120618
241,20120615
242,20120614
243,20120613
244,20120612
245,20120611
246,20120608
247,20120607
248,20120606
249,20120605
250,20120604
251,20120601
